S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
1084,UPHC Housing Board Colony,Government-DPH,Karimnagar,Karimnagar,-,Dr.Greeshmanya (8096386727),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1085,UPHC Housing board Armoor,Government-DPH,Nizamabad,Armur,Armoor,Dr Ayesha Firdouse (),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
1086,UPHC Indira Nagar,Government-DPH,Sangareddy,Sangareddy,Sangareddy,Dr Rajini (9491671707),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1087,UPHC Jadcherla,Government-DPH,Mahabubnagar,Jadcherla,Jadcherla,Dr.Shivakanth (8465844772),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1088,UPHC Jagadhgiri Gutta/Deenabandu Colony,Government-DPH,Medchal-Malkajgiri,Kukatpally,Ghmc,Dr Teerthasi (9885099614),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1089,UPHC Jahanuma,Government-DPH,Hyderabad,Bahadurpura,Ghmc,Dr Bushra Nousheen (9866291133),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1090,UPHC Jainoor,Government-TVVP,Komaram Bheem Asifabad,Jainoor,-,Chowdary.Jairam (9515354610); Jadav Ambaji (9381217907),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
1091,UPHC Jambagh Park,Government-DPH,Hyderabad,Nampally,Ghmc,Dr Geetha (9441024463),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1092,UPHC Jublihills,Government-DPH,Hyderabad,Shaikpet,Ghmc,Dr Seema Rahman (9052655279),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1093,UPHC Karwan I,Government-DPH,Hyderabad,Nampally,Ghmc,Dr.Srikanth (8801609558),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1094,UPHC Karwan II,Government-DPH,Hyderabad,Nampally,Ghmc,Dr. Hyder (9059008343),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1095,UPHC Kattarampur,Government-DPH,Karimnagar,Karimnagar,-,Dr.Ayesh Begum (9949950360),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1096,UPHC Khairtabad,Government-DPH,Hyderabad,Khairthabad,Ghmc,Dr.L.Nagender Babu (9959569396); Dr.P.Suvarna (9618740827),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1097,UPHC Kishanbagh,Government-DPH,Hyderabad,Bahadurpura,Ghmc,Dr. Ramakrishna (9440385551); Dr Ramakrishna (9440385551),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1098,UPHC Kothapet,Government-DPH,Medchal-Malkajgiri,Uppal,Ghmc,Dr.K.Venkata Naresh (9640382691); Dr.Reshma Rani (98858 51200),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1099,UPHC Kothapet Harijanawada,Government-DPH,Rangareddy,Saroornagar,Ghmc,Dr Dhage Divya Sree (9052613967),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1100,UPHC Krishna Nagar,Government,Nalgonda,Miryalaguda,Miryalaguda,Dr Qusiam (8121706769),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1101,UPHC Kukatpally,Government-DPH,Medchal-Malkajgiri,Kukatpally,Ghmc,Dr. M. Shiva Kumar (9346587567); Dr. B. Rajitha (8500375578),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1102,UPHC Kummariwadi,Government-DPH,Mahabubnagar,Mahabubnagar Urban,Mahabubnagar,Dr.K.Khaja (7780323491); Dr.Nagamani (9440033993),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1103,UPHC Kummarwadi,Government-DPH,Hyderabad,Golconda,Ghmc,Dr.Anuradha (9000100058),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1104,UPHC Kuttivellodi,Government-DPH,Hyderabad,Secunderabad,Ghmc,Dr Raj Kumar (9666364525),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1105,UPHC Lashkarsingaram,Government-DPH,Hanumakonda,Hanamkonda,Warangal,Dr.N.Ravali (8309345723); Dr.M.Soujanya (7702854580),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1106,UPHC Linewada,Government-DPH,Nalgonda,Miryalaguda,Miryalaguda,Dr Vishwa Jyothi (9963924012),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1107,UPHC Macha Bollaram,Government-DPH,Medchal-Malkajgiri,Medchal,Ghmc,Dr.K.Srikanth (8106366809); Dr.Manupappan (7702735051),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1108,UPHC Madannapet,Government-DPH,Hyderabad,Saidabad,Ghmc,Dr. M.Geetha (9441024463),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1109,UPHC Maharajgunj,Government-DPH,Hyderabad,Nampally,Ghmc,Dr. P. Rajasekhar (9866370222),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1110,UPHC Mailardevpally,Government-DPH,Rangareddy,Rajendranagar,Ghmc,Dr Yashwant Reddy (6309393339); Dr Vaman Rao (9441843434),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1111,UPHC Maisaram,Government-DPH,Hyderabad,Bandlaguda,Ghmc,Dr Jhansi Rani (7989310844),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
