HCO Name,Address,Contact,Accreditation Number (Acc. No.),Accreditations / Certifications
"Aadhar Hospital Multi Speciality Hospital & ICU, CTS No. 28A, Hissa No. 16/13/14, Near Rajgurunagar Bank, Dehu Road, Old Mumbai-Pune Highway, Havili","Aadhar Hospital Multi Speciality Hospital & ICU, CTS No. 28A, Hissa No. 16/13/14, Near Rajgurunagar Bank, Dehu Road, Old Mumbai-Pune Highway, Havili Pune Maharashtra",NA,2015-0363,Empaneled
Aadhar Hospital Pvt. Ltd.,"Wadiya Factory, Shivaji Nagar, Nanded. 431602, Nanded, Maharashtra, 431602",+91 2462 235 599,PEH-2024-2696,Certified
Aadhi Hospital,"10/48, West Chithirai Chavadi, Coimbatore, Tamil Nadu, 641109",NA,PEH-2025-3046,Certified
Aadhya9 Multispeciality Hospital,"W-4, west patel nagar ,adjoining to shadipur metro station, new delhi -110008, New Delhi, Delhi, 110008",Visit Website +91 11 4040 2424,PESHCO-2024-10298,Certified
Aadi Ayurvedam,"249, Bala Ji Market, Laximi Vihar, Kaini Road, Under Bridge, Hisar, Hisar, Haryana, India, 125007",NA,AH-2025-0397,Accredited
Aadicura Superspeciality Hospital,"Plot No. : 5,6,7, Winward Business Park, Jetalpur Road Vadodara - 390020, Gujarat",Visit Website +91 89805 57711,H-2023-1246,Accredited
Aadidev Hospital & Trauma Center,"PLOT NO 46-47,NEAR CHETAN DHARAM KANTA,TEJ COLONY,ROHTAK,HARYANA, Rohtak, Haryana, 124001",NA,PESHCO-2025-11350,Certified
Aadika Hospital,"Institutional Plot No.-6 , Sector-37, Faridabad, Haryana, 121003",Visit Website +91 129 406 8134,PESHCO-2025-11008,Certified
Aadinath Vitalising Home (A unit of Aadinath Eternal Bliss Private Limited),Aadinath Vitalising Home (A unit of Aadinath Eternal Bliss Private Limited) Jaipur Rajasthan,NA,AH-2026-0439,Accredited
Aadinath Vitalising Home (A Unit Of Aadinath Eternal Bliss Private Limited),"60, Behind Hanuman Temple, Sardarpura, Opp.Meera Girls Collage, Udaipur, Udaipur, Rajasthan, India, 313004",+91 73003 34905,AH-2023-0228,Accredited
Aaditya Hospital,"Sangli Miraj road, Vishrambag, Sangli, Sangli, Maharashtra, India, 416415",+91 233 230 5686,PESHCO-2017-0051,Certified
AADVIKA MULTISPECIALTY HOSPITAL,"TILA MORE NEAR BAL BHARTI PUBLIC SCHOOL OPP.SHIV MANDIR NISTOLI LONI, GHAZIABAD, UTTAR PRADESH, Ghaziabad, Uttar Pradesh, 201003",NA,HOS/2024/C1487,Empaneled
Aadvika Multispecialty Hospital,"TILA MORE NEAR BAL BHARTI PUBLIC SCHOOL OPP. SHIV MANDIR NISTOLI LONI, GHAZIABAD, UTTAR PRADESH - 201003, Ghaziabad, Uttar Pradesh, 201003",NA,PESHCO-2024-9867,Certified
Aadya Global Healthcare Private Limited,"UU-11, UU Block, Maharaja Agrasen Marg, Pitampura, North West Delhi, Select State, India, 110034",Visit Website +91 1800 889 6007,MT-2023-0028,Empaneled
AAI Hospital,"Behind Mantri Bank, Jalna Road, Beed., Beed, Maharashtra, 431122",NA,PESHCO-2024-9212,Certified
AAIHMS Hospital and Research Centre Limited,"SMVS Swaminarayan Temple BRTS Opp. Kiran Diamond, Simada Cross Road, Simada Surat - 395013, Gujarat",Visit Website +91 99041 50209,H-2025-1502,Accredited
Aakanksha Maternity and Nursing Home,"UNIT NO 301 - 501 NAVKAR BHAVAN ROAD NO 7 DAULAT NAGAR BORIVALI EAST, Mumbai City, Maharashtra, 400066",NA,PESHCO-2024-9922,Certified
Aakash Healthcare Super Speciality Hospital,Aakash Healthcare Super Speciality Hospital Delhi Delhi,Visit Website +91 11 6138 8888,H-2019-0613,Accredited
"Aakash Healthcare Super Speciality Hospital, Hospital Plot, Road No. 201 Sector-03, Dwarka","Aakash Healthcare Super Speciality Hospital, Hospital Plot, Road No. 201 Sector-03, Dwarka Delhi Delhi",NA,2018-0869,Empaneled
Aakash Hospital,"393/1, T.H. RAOD, THIRUVOTTIYUR, CHENNAI, THIRUVOTTIYUR, Tamil Nadu, India, 600019",Visit Website +91 44 4930 4242,PEH-2018-0430,Certified
"Aakash Hospital, 90/43/ Malviya Nagar","Aakash Hospital, 90/43/ Malviya Nagar Delhi Delhi",Visit Website +91 11 4050 1000,2018-1407,Empaneled
Aalok Hospital,"PLOT No. 136, KHASRA No. 103/14, MAIN KANJHAWLA ROAD, RAJEEV NAGAR, Delhi, Delhi, 110086",Visit Website +91 93102 04289,PESHCO-2022-7038,Certified
Aalok Hospital,"SH-15/63-A-P-T. BHARLAI, SHIVPUR,VARANASI, North West Delhi, Delhi, 221003",NA,HOS/2024/C1792,Empaneled
Aanandam Multispeciality Hospital and Research Centre Pvt. Ltd.,"Majitha Road, Amritsar, Nagpur, Maharashtra, 143001",NA,HOS/2025/C2469,Empaneled
Aanchal Nursing Home,"opposite DAK BANGALOW, Didwana-Ladnun Rd, Didwana, Rajasthan 341303, Nagaur, Rajasthan, 341303",NA,PESHCO-2022-6372,Certified
AANJANAYTHRALAYA RETINA AND LASER EYE CENTRE,AANJANAYTHRALAYA RETINA AND LASER EYE CENTRE Mohali Punjab,NA,EYE/2023/E0265,Empaneled
Aanjanaythralaya Retina and Laser Eye Centre,Aanjanaythralaya Retina and Laser Eye Centre Mohali Punjab,NA,PESHCO-2026-11693,Certified
Aanjaneya Hospital,"179, Civil Lines, Station Road,, Jaipur, Rajasthan, 243001",NA,HOS/2023/C1049,Empaneled
Aanjaneya Hospital (A Unit of Bajrang Healthcare LLP),"H-19 A, Bhagat Singh Marg, C- Scheme, Jaipur-302001, Jaipur, Rajasthan, 302001",Visit Website +91 90909 00325,SHCO-2025-1171,Accredited
Aanvi Endoscopy and Surgery Centre,"MARUTI PLAZA COMPLEX , 1ST FLOOR, MODI COMPOUND, PANCHBATTI, BHARUCH., Bharuch, Gujarat, 392001",NA,PESHCO-2020-3707,Certified
Aapni Pediatrics Health Care Private Limited,"326-330,423-430, c-wing, city center arced, Ahmedabad, Gujarat, 380025",NA,PEH-2022-2007,Certified
"Aaradhya Eye Hospital Kanpur,11-W2 Juhi kalan Damodar Nagar,Near Bara Byepass Chauraha","Aaradhya Eye Hospital Kanpur,11-W2 Juhi kalan Damodar Nagar,Near Bara Byepass Chauraha Kanpur Uttar Pradesh",NA,2021-1524,Empaneled
Aaradhya Health Care Superspeciality Hospital,"GROUND FLOOR & FIRST FLOOR, AARPEE CHAMBERS, BEHIND TIMES SQUARE,OPP. KANAKIA SEVENS, NEAR MAROL STATION, ANDHERI EAST, MUMBAI - 400059, Mumbai City, Maharashtra, 400059",NA,PESHCO-2024-9200,Certified
Aaradhya Hospital,Aaradhya Hospital Mumbai City Maharashtra,NA,PESHCO-2026-11980,Certified
AARADHYA NETRALAYA,AARADHYA NETRALAYA Pune Maharashtra,NA,EYE/2024/C0362,Empaneled
Aaradhyaa Hospitals (A Unit of Raghava Health Care),"D.No.10-50-72, Opp. TDP Office, Ramnagar, Visakhapatnam, AP-530002., Visakhapatnam, Andhra Pradesh, 530002",+91 88866 88704,PESHCO-2025-10534,Certified
Aarav Eye Care and Retina Centre,"Shop No 5,Bhairav Residency ,Kanakia Road,Near Cinemax Theatre,Mira Road East-401107, Thane, Maharashtra, 401107",Visit Website +91 90822 17175,PESHCO-2024-9207,Certified
Aarav Hospitals Private Limited,"B2/428, Roshan Path, chitrakoot, Vaishali nagar, , Jaipur, Rajasthan, 302021",NA,SHCO-2025-1271,Accredited
Aarav Maternity and Multispeciality Hospital,"RAPTI NAGAR PHASE-4 NEAR CHARGAWA ITI MEDICAL COLLEGE ROAD , GORAKHPUR, UTTAR PRADESH - 273013, Gorakhpur, Uttar Pradesh, 273001",NA,PESHCO-2025-11374,Certified
Aarbee Institute Of Medical Sciences,"SWARNA JAYANTI NAGAR , SWARNA JAYANTI NAGAR, BILASPUR, BILASPUR, Chattisgarh, India, 495001",Visit Website +91 77524 13599,H-2022-1031,Accredited
Aarka Hospitals (Mahakram Hospitals Private Limited),"Aarka Hospitals (Mahakram Hospitals Private Limited), D.No - 50/760-A-84-2, Vishwabharathi Hospital lane, Gayatri Estate, Kurnool District, Andhra Pradesh - 518002, Kurnool, Andhra Pradesh, 518002",NA,H-2025-1692,Accredited
AARNA EYE CARE CENTRE,"Huda Sector- 1 Behind DC Residence, narnaul-123001(Hr.), North West Delhi, Delhi, 123001",NA,EYE/2024/C0359,Empaneled
Aarna Medical Hospital,"107,DEVRAJ MALL INDIA COLONY ROAD, BAPUNAGAR, Ahmedabad, Gujarat, 382350",NA,PESHCO-2020-3671,Certified
Aarna Superspeciality Hospital,"SHAT PRABHA HEIGHTS, OPPOSITE RAMUJILAL HALL, BHAIRAVNATH ROAD, MANINAGAR., Ahmedabad, Gujarat, 380008",Visit Website +91 75740 40108,SHCO-2024-1012,Accredited
Aarna Superspeciality Hospital,"aarna superspeciality hospital near parimal under bridge opp suvidha complex paldi, aarna superspeciality hospital near parimal under bridge opp suvidha complex paldi, Ahmedabad, AHMEDABAD, Gujarat, India, 380007",Visit Website +91 75740 40108,SHCO-2022-0571,Accredited
Aarogya Hastha Hospitals Pvt. Ltd.,"Site. No 2,No 2816/2, SY.87, Kasavanahalli Main Road, Off Sarjapura Road, Bengaluru-560035, Bangalore, Karnataka, 560035",NA,PEH-2025-3094,Certified
AAROGYA HEALTH CARE MULTISPECIALITY HOSPITAL,"CITY PRIDE BUILDING , PARASIA ROAD NEAR POOJA LAWN, CHHINDWARA, Chhindwara, Madhya Pradesh, 480001",NA,HOS/2025/C2740,Empaneled
Aarogya Hospital,Aarogya Hospital Siddipet Telangana,NA,PESHCO-2026-11720,Certified
Aarogya Hospital,Aarogya Hospital New Delhi Delhi,NA,H-2026-1765,Accredited
Aarogya Hospital,"Dr. Radhika Multi Speciality Hospital & Fertility Center, Plot No C 5, Opposite Rythu Bazaar, Gopalapatnam, East Delhi, Delhi, 530027",NA,HOS/2024/C1524,Empaneled
AAROGYA HOSPITAL,AAROGYA HOSPITAL East Delhi Delhi,NA,HOS/2024/E2424,Empaneled
Aarogya Hospital,"SHOP NO :32, KHUDDA LAHORA, UTI, CHANDIGARH 160014, Chandigarh, Chandigarh, 160014",NA,PESHCO-2025-11541,Certified
Aarogya Hospital,Aarogya Hospital Raibarelli Uttar Pradesh,Visit Website +91 94551 16334,PESHCO-2021-5136,Certified
Aarogya Hospital,"8 & 9, MATHURA NAGARI, POLICE LINE ROAD, AMBALA CITY, AMBALA, Haryana, India, 134003",NA,SHCO-2023-0894,Accredited
Aarogya Hospital,"Plot no 28 ,Chitra Vihar Vikash Marg , East Delhi, Delhi, 110092",Visit Website +91 93693 00300,PEH-2025-2802,Certified
AAROGYA HOSPITAL,AAROGYA HOSPITAL Hisar Haryana,Visit Website +91 166 224 5450,HOS/2022/E0343,Empaneled
"Aarogya Hospital (A unit of Kastura Medicos), NH-1, Sec-6, Vaishal","Aarogya Hospital (A unit of Kastura Medicos), NH-1, Sec-6, Vaishal Ghaziabad Uttar Pradesh",NA,2016-0503,Empaneled
Aarogya Nidhi Hospital,Aarogya Nidhi Hospital Bhopal Madhya Pradesh,+91 97524 32582,PEH-2023-2381,Certified
AAROGYA PLUS MULTISPECIALITY HOSPITAL,"NEAR JAIN CHAURASI MANDIR , NEAR GOVARDHAN CHAURAHA, NH-19 MATHURA , Mathura, Uttar Pradesh, 281004",NA,HOS/2024/E1953,Empaneled
Aarogya Ruchi Hospital,"Aarogya Ruchi Hospital ,2 Nathu Ram Park Najafgarh ,New Delhi, South West Delhi, Delhi, 110043",NA,PESHCO-2025-10492,Certified
Aarogya Super Speciality Hospital,Aarogya Super Speciality Hospital Thane Maharashtra,NA,PESHCO-2026-11929,Certified
AAROGYA TRAUMA AND LIFE CARE CENTRE,"SIMBAL CHOWK DALHOUSIE ROAD MAMUN PATHANKOT , Pathankot, Punjab, 145001",NA,HOS/2025/E3130,Empaneled
Aarogyadham Super Speciality Hospital and Research Centre,"6 , New Road near Doon Govt Hospital Dehradun uttarakhand, Dehradun, Uttarakhand, 248001",Visit Website +91 99275 20008,PESHCO-2025-10906,Certified
Aarogyam Ayurvedic Panchakarma Hospital & Research Centre Private Limited,"32-B, Bhagat ki Kothi, Jodhpur, Jodhpur, Rajasthan, India, 342011",Visit Website +91 99603 62862,AH-2024-0244,Accredited
Aarogyam Health Institute And Hospital,"B 168,INDRA PARK, NAJAFGARH, DELHI, SOUTH WEST, Delhi, India, 110043",Visit Website +91 98185 92027,AH-2025-0341,Accredited
Aarogyam Heart and General Hospital,"90/2, Sri Nagar Colony, Opp.- Amber Cinema, Near-Avlok Mandap, Modinagar, Ghaziabad, Uttar Pradesh, Ghaziabad, Uttar Pradesh, 201204",NA,PESHCO-2024-9391,Certified
Aarogyam Hospital,Aarogyam Hospital Haridwar Uttarakhand,Visit Website +91 75339 20244,2021-1883,Empaneled
Aarogyam Hospital,"AAROGYAM HOSPITAL 3rd FLOOR,MIRACLE DOCTOR HOUSE,OPP.BALAJI HALL, MAHAPUJA DHAM CHOWK,150FEET RING ROAD,RAJKOT, Rajkot, Gujarat, 360001",NA,PESHCO-2023-7415,Certified
Aarogyam Hospital,Aarogyam Hospital Indore Madhya Pradesh,Visit Website +91 731 240 0344,PESHCO-2023-8186,Certified
Aarogyam Hospital,"PREM TOWER, OPP. CINEMAX THEATRE, S.V. ROAD, GOREGAON(W), Mumbai Suburban, Maharashtra, 400062",NA,PESHCO-2025-11545,Certified
Aarogyam Hospital,"NH-73, Vill.: Karondhi, Roorkee, Dehradun Road, Bhagwanpur, Uttarakhand, Haridwar, Uttarakhand, 247661",Visit Website +91 75339 20244,PEH-2022-1990,Certified
Aarogyam Hospital & Maternity Home,"AAROGYAM HOSPITAL & MATERNITY HOME, SHIDHHI VINAYAK PLATINUM PANDESARA, Surat, Gujarat, 394210",NA,PESHCO-2025-11512,Certified
Aarogyam Multispeciality Hospital,"Hall No.1, 3 rd Floor, Kanchan Business Centre, Mahim - Manor, Bypass Road, Palghar, Palghar, Maharashtra, 401404",+91 95030 61022,PESHCO-2024-9869,Certified
Aarogyam Speciality Hospital,Aarogyam Speciality Hospital Ahmedabad Gujarat,Visit Website +91 79 2646 3535,PESHCO-2019-2146,Certified
Aarogyam Superspeciality Hospital and Research Center,"N.H. 53, Opp Toyota Showroom Kadambari Nagar, Bypass Road Durg - 491001, Chhattisgarh",Visit Website +91 97554 21861,H-2024-1457,Accredited
AAROGYAM SUPERSPECIALITY HOSPITAL AND RESEARCH CENTER,"DELHI ROAD, NEAR SABZI MANDI, SAHARANPUR, Durg, Chattisgarh, 247001",NA,HOS/2025/C2132,Empaneled
Aarogyam Surgical Maternity Centre,Aarogyam Surgical Maternity Centre Ghaziabad Uttar Pradesh,NA,PESHCO-2026-11792,Certified
Aarogyam Wellness Hospital,"A-283 19 A, SECTOR 2 ROHINI, KHNO 15/18/1, Gr FLR,VILLAGE MONGOLPUR, Rithala, North West Delhi, Delhi, India, 110085",NA,PC-2025-0140,Accredited
Aarohan Ayurveda,"B-35, PRABHU MARG, TILAK NAGAR, JAIPUR CITY, JAIPUR, Rajasthan, India, 302004",+91 97990 25140,AH-2024-0235,Accredited
Aartham Multi Super Specialty Hospital,"Opp. Government Polytechnic, L-Colony, Near Panjarapoe Cross Road,, Ambawadi, Ahmedabad, Ahmedabad, Gujarat, India, 380006",Visit Website +91 79 2630 6401,H-2022-0985,Accredited
Aarthi Hospital,"NO 60 SANTHAIPETTAI STREET, Thoothukudi, Tamil Nadu, 628502",Visit Website +91 4632 221 346,PEH-2024-2719,Certified
"Aarthi Scan Pvt. Ltd., Jayanagar","Aarthi Scan Pvt. Ltd., Jayanagar Bangalore Karnataka",Visit Website +91 70224 70224,2015-0675,Empaneled
Aarthi Scans & Labs - Mangalwarpeth ( A Unit of Aarthi Scans Private Limited),"Shop No:1&2,Office No:7,On Ground Floor,Audumber Haritage 430/1 , Mangalwar Peth, Pune, Pune, Maharashtra, India, 411011",NA,MIS-2026-0376,Accredited
Aarthi Scans & Labs – Kothrud,"shop No 148A/B ,Ground Floor,Neena Co-Operating Housing Society, Paud Road,Kothrud, Kothrud, PUNE, PUNE, Maharashtra, India, 411038",NA,MIS-2025-0372,Accredited
Aarthi Scans Private Limited,"Shop No. 1 Lower Ground Floor C. S. Nos. 202(Pt), 240, 416, 417(Pt) and 423, Acharya Donde Marg, Parel Village, Parel,, PAREL,MUMBAI, Mumbai, , Maharashtra, India, 400012",NA,MIS-2025-0340,Accredited
Aarthi Scans Private Limited,Aarthi Scans Private Limited Pune Maharashtra,NA,MIS-2026-0381,Accredited
Aarthi Scans Private Limited,"No 4, Dr. Thangaraj Salai, KK Nagar, Madurai, Madurai, Tamil Nadu, India, 625020",NA,MIS-2026-0395,Accredited
Aarthi Scans Private Limited,"NO 60, HUNDRED FEET ROAD, VADAPALANI, CHENNAI, CHENNAI, Tamil Nadu, India, 600026",Visit Website +91 75500 75500,MIS-2017-0062,Accredited
Aarthi Scans Pvt Ltd,"6-3-347/12/A/10/1/7, Saibaba Temple Rd,, Dwarakapuri, Punjagutta, Hyderabad, Telangana, India, 500082",Visit Website +91 76699 76699,MIS-2025-0323,Accredited
"Aarthi Scans Pvt Ltd., No 60, 100 Feet Road, Vadapalani","Aarthi Scans Pvt Ltd., No 60, 100 Feet Road, Vadapalani Chennai Tamil Nadu",NA,2015-0097,Empaneled
Aarthi Scans Pvt. Ltd.,"156, 9th Main Rd,, Jayanagar 3rd Block,, Bangalore, Bangalore, Karnataka, India, 560011",Visit Website +91 70224 70224,MIS-2025-0319,Accredited
Aarthy Eye Hospital,"16 SENGUNTHAPURAM MAIN ROAD KARUR, KARUR, KARUR, KARUR, Tamil Nadu, India, 639002",Visit Website +91 4324 233 163,PESHCO-2018-0841,Certified
Aarti Eye Centre,"57-E , TAGORE NAGAR , CIVIL LINES, Ludhiana, Punjab, 141001",Visit Website +91 84270 07800,PESHCO-2019-2138,Certified
Aaruni Multi Speciality Hospital,"1/194, Housing Board, Churu Road, Jhunjhunu, Jhunjhunu, Rajasthan, 333001",Visit Website +91 95878 75550,PESHCO-2021-5549,Certified
Aaruni Multispeciality Hospital,"1/194 HOUSING BOARD, Jhunjhunu, Rajasthan, 333001",Visit Website +91 95878 75550,SHCO-2025-1188,Accredited
AARUNI MULTISPECIALITY HOSPITAL,AARUNI MULTISPECIALITY HOSPITAL Jhunjhunu Rajasthan,NA,HOS/2024/E2075,Empaneled
"Aaruni Multispeciality Hospital, 1/194, Housiing Board, Jhunjhunu, Rajasthan P-No. 333001","Aaruni Multispeciality Hospital, 1/194, Housiing Board, Jhunjhunu, Rajasthan P-No. 333001 Jhunjhunu Rajasthan",Visit Website +91 95878 75550,2021-1984,Empaneled
Aarush Nursing Home,"Sector 9B/09, Buddhi Vihar , Avas Vikash Phase 2 Moradabad, Uttar Pradesh 244001, Moradabad, Uttar Pradesh, 244001",NA,PESHCO-2025-11357,Certified
Aarvy Healthcare,"Sector 90 Gurgaon - 122505, Haryana",Visit Website +91 62628 00800,H-2024-1430,Accredited
Aarvy Healthcare Pvt.Ltd,"BANAR ROAD , Gurgaon, Haryana, 342015",NA,HOS/2023/C0686,Empaneled
Aarvy Healthcare Pvt.Ltd,"Aarvy Healthcare Pvt.Ltd, Sector-90 , Gurugram , Haryana, Gurgaon, Haryana, 122505",Visit Website +91 62628 00800,HOS/2023/E0847,Empaneled
AARVY HOSPITAL a unit of medlix hospitals and healthcare llp,"530/18, Jail Rd, Civil Lines, Gurugram, Haryana 122001, Gurgaon, Haryana, 122001",NA,HOS/2025/E2594,Empaneled
AARVY HOSPITAL A UNIT OF MEDLIX HOSPITALS AND HEALTHCARE LLP,"530/18 , CIVIL LINES , OPP. NEHRU STADIUM , GURGAON , HARYANA., Gurgaon, Haryana, 122001",NA,HOS/2025/C2655,Empaneled
Aarya Hospital,"Door No: 1199, Kantharaj URS Road, Krishnamurhtypuram, Chamaraja Mohalla, Mysore - 570004 , Mysore, Karnataka, 570004",Visit Website +91 821 233 0233,PEH-2024-2550,Certified
Aaryan Institute of Medical Science,"Plot No. 3919/3920, Near Navanaka,Opp. Swaminarayan Temple, Kachchh, Gujarat, 370465",NA,SHCO-2024-1091,Accredited
Aaryuvedam,"2nd floor, NR - 38, DLF Phase III, Sector - 24, Gurugram, Gurugram, Haryana, India, 122002",Visit Website +91 88009 49277,PC-2025-0127,Accredited
Aasav Hospital,Aasav Hospital Muzaffarpur Bihar,NA,PEH-2024-2629,Certified
Aashakiran IVF Private Limited,"SCO 63-64-65, SECTOR-127, GILLCO VALLEY, KHARAR, DISTRICT S A S NAGAR (MOHALI), 140301, Mohali, Punjab, 140301",NA,PESHCO-2025-11547,Certified
Aashay Eye Hospital,"5-B, Krishna nagar, Mathura, Uttar Pradesh , Sabarkantha, Gujarat, 281004",NA,EYE/2024/C0514,Empaneled
Aashima Hospital,"Behind DN Plaza, Swami Vivekanand Chauraha, Thatipur, Gwalior (M.P.) 474011, Gwalior, Madhya Pradesh, 474011",+91 76919 64758,PESHCO-2024-10052,Certified
Aashirwad Advanced Heart Lung and Critical Care Centre,"356, CHAR CHAMAN, OPPOSITE SANATAN DHARAM MANDIR, KUNJPURA ROAD, KARNAL, Haryana, India, 132001",+91 74199 90435,SHCO-2023-0823,Accredited
Aashirwad Hospital,"Bye Pass Road, Gobind Puri Yamuna Nagar - 135001, Haryana, Yamuna Nagar, Haryana, 135001",NA,SHCO-2022-0621,Accredited
Aashirwad Hospital,Aashirwad Hospital Jalgaon Maharashtra,NA,PESHCO-2026-12031,Certified
Aashirwad hospital,Aashirwad hospital Aurangabad Maharashtra,NA,HOS/2021/E0060,Empaneled
"Aashirwad Hospital Aashirwad Palace, Aliwal Road, Batala, Gurdaspur - 143505","Aashirwad Hospital Aashirwad Palace, Aliwal Road, Batala, Gurdaspur - 143505 Batala Punjab",+91 73073 17777,2019-1563,Empaneled
Aashirwad Multispeciality Hospital & Trauma Centre,"VPO: Kasni Distt. Jhajjar, Jhajjar, Haryana, 124109",NA,PESHCO-2024-9527,Certified
Aashirwad Multispeciality Hospital and Trauma Centre,Aashirwad Multispeciality Hospital and Trauma Centre Jhajjar Haryana,+91 70560 56929,HOS/2024/E1580,Empaneled
Aashirwad Nursing Home,"GROUND FLOOR PN 4 SHEETLA COLONY GURGAON HARYANA 122001, Gurgaon, Haryana, 122001",Visit Website +91 87448 45785,PESHCO-2024-9255,Certified
"Aashirwad Nursing Home Heart And Diabetes Center, A-29/3, Lions Enclave, Opp. DDA Park Marble Block, Vikas Nagar, Uttam Nagar,","Aashirwad Nursing Home Heart And Diabetes Center, A-29/3, Lions Enclave, Opp. DDA Park Marble Block, Vikas Nagar, Uttam Nagar, Delhi Delhi",NA,2018-0974,Empaneled
Aashish Gastro and Liver Hospital,"Sangwan Chowk, Sirsa , Sirsa, Haryana, 125055",NA,PESHCO-2024-10055,Certified
Aashka Hospitals Limited,"Between Sargasan and Reliance Cross Roads, Gandhinagar, Gandhinagar, Gandhinagar, Gujarat, India, 382421",Visit Website +91 98797 52777,H-2019-0662,Accredited
Aashray Nursing Home,"Hatia Road , Tilkamanjhi, Bhagalpur, Bihar 812001, Bhagalpur, Bihar, 812001",+91 99005 44499,PESHCO-2024-9630,Certified
Aashray Urology Institute,"80/A SAMPATRAO COLONY OFF R C DUTT ROAD VADODARA ,VADODARA Gujarat 390007, Vadodara, Gujarat, 390007",NA,SHCO-2021-0409,Accredited
Aashu Dental & Multispeciality Clinic,Aashu Dental & Multispeciality Clinic Ahmedabad Gujarat,NA,D-2017-0041,Accredited
AASHU DENTAL & MULTISPECIALITY CLINIC,"Rajendra Nagar, Ahmedabad, Gujarat, 800016",NA,DEN/2025/C0770,Empaneled
"Aashu Dental & Multispeciality Clinic, Dr. KK Shah's Bunglow, Behind Navrangpura Post Office","Aashu Dental & Multispeciality Clinic, Dr. KK Shah's Bunglow, Behind Navrangpura Post Office Ahmedabad Gujarat",NA,2015-0131,Empaneled
Aashwi ENT Hospital,"25, Sumanglam soc., Nr Asia English school, Drive in road, Bodakdev, Ahmedabad, Gujarat-380054, Ahmedabad, Gujarat, 380054",Visit Website +91 99798 91672,PESHCO-2021-4792,Certified
Aastha A Multi Speciality Hospital,"NEAR CIVIL HOSPITAL, VIKAS NAGAR, GOHANA - 131301, Sonipat, Haryana, 131301",NA,PESHCO-2025-11535,Certified
Aastha Ayurveda & Panchkarma Centre,"D 659 main 100 feet road , chanderlok, shahdara, shahdara, Delhi, India, 110093",NA,PC-2023-0062,Accredited
Aastha Ayurveda & Panchkarma Centre,"P. No 184/5 Dilshad garden, near Chetak complex, Delhi, Shahdara, Delhi, India, 110095",NA,PC-2023-0070,Accredited
"Aastha Ayurveda And Panchkarma Centre, Yamuna Vihar, East Delhi","C-1/359 , YAMUNA VIHAR, DELHI-110053, EAST DELHI, Delhi, India, 110053",+91 80763 36220,PC-2024-0106,Accredited
AASTHA CENTRE FOR GERIATRIC MEDICINE PALLITAIVE CARE HOSPITAL AND HOSPICE SOCIAL WELFARE SOCIETY B 52 J PARK MAHANAGAR LKO,AASTHA CENTRE FOR GERIATRIC MEDICINE PALLITAIVE CARE HOSPITAL AND HOSPICE SOCIAL WELFARE SOCIETY B 52 J PARK MAHANAGAR LKO Lucknow Uttar Pradesh,NA,HOS/2024/E1941,Empaneled
"Aastha Centre for Geriatric Medicine, Palliative Care Hospital, Hospice & Social Welfare Society, B-52, J- Park Mahanagar","Aastha Centre for Geriatric Medicine, Palliative Care Hospital, Hospice & Social Welfare Society, B-52, J- Park Mahanagar Lucknow Uttar Pradesh",NA,2018-0956,Empaneled
Aastha Eye Centre,"5R/5, NIT(Behind Neelam Petrol pump), FARIDABAD, FARIDABAD, Haryana, India, 121001",Visit Website,ECO-2019-0054,Accredited
"Aastha Eye Centre, 5R/5, NIT","Aastha Eye Centre, 5R/5, NIT Faridabad Haryana",NA,2019-1263,Empaneled
Aastha Eye Hospital,Aastha Eye Hospital Mumbai Suburban Maharashtra,NA,PESHCO-2026-11996,Certified
Aastha Health Care,"AASTHA HEALTH CARE, Opposite Chheda Petrol Pump, Mumbai City, MUMBAI, Maharashtra, 400082, Mumbai, Maharashtra, 400082",Visit Website +91 84540 36555,PESHCO-2019-2449,Certified
AASTHA HEALTH CENTRE,"SINGHPUR, KANPUR NAGAR, Kanpur Nagar, Uttar Pradesh, 208017",NA,HOS/2024/C1568,Empaneled
Aastha Health Centre,"SINGHPUR KANPUR NAGAR, Kanpur, Uttar Pradesh, 208017",Visit Website +91 77040 08240,PEH-2023-2084,Certified
"Aastha Health Centre, Bithoor Road, Kalyanpur Singhpur","Aastha Health Centre, Bithoor Road, Kalyanpur Singhpur Kanpur Uttar Pradesh",NA,2019-1301,Empaneled
Aastha Hospital,Aastha Hospital Gurgaon Haryana,NA,PESHCO-2026-11921,Certified
Aastha Hospital,"65,Balasinor Society,S.V Road,, Opp Shatabdi Hospital,Kandivali,west, Mumbai, Mumbai, Maharashtra, India, 400067",Visit Website +91 74001 90800,PESHCO-2020-3262,Certified
Aastha Hospital,"81-S Model Twon, Model Twon, HISAR, HISAR, Haryana, India, 125001",Visit Website +91 90340 03400,SHCO-2021-0536,Accredited
Aastha Hospital,"84/6, GANDHI NAGAR RAJWAHA ROAD JIND ,JIND Haryana 126102, Jind, Haryana, 126102",NA,SHCO-2021-0425,Accredited
Aastha Hospital,"L-2/50, OUTER RING ROAD, NEW MAHAVIR NAGAR, DELHI , DELHI, Delhi, India, 110018",Visit Website +91 92509 13363,SHCO-2022-0544,Accredited
